"Date","Price","Open","High","Low","Vol.","Change %"
"20-08-2024","266.00","270.90","270.90","265.60","3.22M","-1.41%"
"19-08-2024","269.80","269.90","273.80","268.50","4.44M","1.12%"
"16-08-2024","266.80","265.80","270.25","264.75","4.70M","1.81%"
"14-08-2024","262.05","268.20","269.15","259.65","5.37M","-2.29%"
"13-08-2024","268.20","273.90","277.00","265.55","7.74M","-1.43%"
"12-08-2024","272.10","264.55","276.60","259.15","19.23M","2.83%"
"09-08-2024","264.60","271.95","274.90","263.55","9.27M","-1.98%"
"08-08-2024","269.95","275.00","283.50","268.20","14.67M","-1.64%"
"07-08-2024","274.45","270.30","276.40","261.55","10.56M","5.13%"
"06-08-2024","261.05","270.35","278.85","259.45","10.15M","-2.41%"
"05-08-2024","267.50","271.00","278.85","265.75","14.49M","-6.47%"
"02-08-2024","286.00","279.25","286.90","278.25","7.32M","-0.40%"
"01-08-2024","287.15","290.00","291.00","283.30","5.84M","-0.55%"
"31-07-2024","288.75","295.45","296.50","288.05","7.12M","-2.17%"
"30-07-2024","295.15","300.60","301.60","292.00","12.19M","-1.32%"
"29-07-2024","299.10","277.40","302.40","277.20","31.43M","8.92%"
"26-07-2024","274.60","282.40","285.50","273.00","15.49M","-2.17%"
"25-07-2024","280.70","290.00","290.85","280.00","13.36M","-4.00%"
"24-07-2024","292.40","294.75","304.95","291.00","17.45M","-0.29%"
"23-07-2024","293.25","321.85","327.95","262.00","49.27M","-8.06%"
"22-07-2024","318.95","316.10","322.80","308.55","14.90M","0.90%"
"19-07-2024","316.10","309.00","329.50","304.65","35.55M","1.05%"
"18-07-2024","312.80","322.50","323.20","307.90","16.20M","-3.40%"
"16-07-2024","323.80","336.30","336.30","322.00","17.70M","-3.47%"
"15-07-2024","335.45","340.20","351.60","333.00","24.12M","-0.40%"
"12-07-2024","336.80","321.50","349.45","319.00","87.66M","5.28%"
"11-07-2024","319.90","321.60","324.70","311.60","20.84M","0.19%"
"10-07-2024","319.30","315.00","326.30","306.50","35.03M","2.14%"
"09-07-2024","312.60","330.05","336.70","303.20","37.09M","-4.39%"
"08-07-2024","326.95","311.90","334.50","310.75","69.69M","6.24%"
"05-07-2024","307.75","288.00","315.80","286.50","116.64M","10.01%"
"04-07-2024","279.75","278.00","284.00","277.05","11.85M","1.25%"
"03-07-2024","276.30","276.60","278.80","273.95","6.45M","0.40%"
"02-07-2024","275.20","271.60","277.65","270.70","9.28M","1.46%"
"01-07-2024","271.25","269.70","274.90","267.70","5.53M","0.59%"
"28-06-2024","269.65","270.00","273.75","267.50","6.59M","0.06%"
"27-06-2024","269.50","271.55","275.45","265.55","7.79M","-0.33%"
"26-06-2024","270.40","272.00","276.00","268.80","7.11M","-0.55%"
"25-06-2024","271.90","280.00","281.70","270.40","8.33M","-2.70%"
"24-06-2024","279.45","276.00","287.55","272.10","15.18M","1.10%"
"21-06-2024","276.40","266.00","285.95","266.00","40.58M","3.52%"
"20-06-2024","267.00","269.15","270.95","264.00","5.47M","-0.30%"
"19-06-2024","267.80","274.00","275.30","263.25","6.97M","-2.24%"
"18-06-2024","273.95","272.00","278.50","271.20","13.29M","1.78%"
"14-06-2024","269.15","269.00","271.75","265.05","7.93M","0.49%"
"13-06-2024","267.85","272.40","273.80","265.20","7.16M","-1.05%"
"12-06-2024","270.70","272.00","272.80","269.00","9.97M","-0.42%"
"11-06-2024","271.85","256.00","275.40","256.00","33.03M","8.03%"
"10-06-2024","251.65","252.85","258.00","249.05","10.05M","0.30%"
"07-06-2024","250.90","250.00","253.90","245.75","10.99M","0.76%"
"06-06-2024","249.00","244.75","268.00","243.60","24.17M","4.51%"
"05-06-2024","238.25","237.30","247.85","213.00","20.92M","0.40%"
"04-06-2024","237.30","286.95","286.95","229.60","34.87M","-17.30%"
"03-06-2024","286.95","298.95","298.95","281.20","21.55M","5.96%"
"31-05-2024","270.80","270.50","275.20","262.15","14.82M","0.11%"
"30-05-2024","270.50","271.50","276.45","268.30","10.75M","-0.68%"
"29-05-2024","272.35","267.00","274.50","263.75","8.55M","0.55%"
"28-05-2024","270.85","277.50","280.50","268.25","8.11M","-2.01%"
"27-05-2024","276.40","273.95","282.30","273.45","12.89M","1.64%"
"24-05-2024","271.95","282.45","282.90","270.00","13.20M","-3.03%"
"23-05-2024","280.45","280.70","292.30","277.55","27.49M","0.50%"
"22-05-2024","279.05","284.90","292.20","273.85","31.01M","-3.69%"
"21-05-2024","289.75","275.85","301.45","272.45","47.42M","5.92%"
"18-05-2024","273.55","273.55","273.55","273.55","","2.41%"
"17-05-2024","267.10","262.20","269.80","259.10","25.16M","2.18%"
"16-05-2024","261.40","244.50","263.50","243.75","37.84M","7.68%"
"15-05-2024","242.75","243.25","244.65","238.80","6.84M","0.17%"
"14-05-2024","242.35","225.60","243.80","225.50","16.36M","7.90%"
"13-05-2024","224.60","229.00","229.00","219.20","4.94M","-1.62%"
"10-05-2024","228.30","227.90","230.30","219.55","6.19M","0.91%"
"09-05-2024","226.25","236.10","238.60","225.00","6.65M","-5.14%"
"08-05-2024","238.50","232.85","239.35","228.65","6.39M","2.19%"
"07-05-2024","233.40","244.80","244.80","232.00","9.07M","-5.06%"
"06-05-2024","245.85","251.00","251.25","243.00","8.37M","-1.44%"
"03-05-2024","249.45","253.00","253.70","242.90","8.32M","-0.78%"
"02-05-2024","251.40","251.70","255.40","246.80","8.28M","0.34%"
"30-04-2024","250.55","256.00","256.40","248.40","11.20M","-1.75%"
"29-04-2024","255.00","258.00","266.90","254.00","28.32M","1.67%"
"26-04-2024","250.80","244.90","253.20","242.60","26.24M","2.87%"
"25-04-2024","243.80","245.00","246.00","240.40","18.89M","0.97%"
"24-04-2024","241.45","230.00","244.85","228.50","30.27M","5.97%"
"23-04-2024","227.85","223.50","229.80","223.10","8.78M","2.47%"
"22-04-2024","222.35","219.70","223.55","219.10","4.62M","2.32%"
"19-04-2024","217.30","217.00","220.00","214.50","6.53M","-1.94%"
"18-04-2024","221.60","222.80","226.45","219.05","6.49M","0.50%"
"16-04-2024","220.50","216.90","223.10","215.55","4.86M","0.82%"
"15-04-2024","218.70","216.20","223.70","212.00","10.46M","-3.34%"
"12-04-2024","226.25","228.40","232.80","225.15","5.71M","-0.77%"
"10-04-2024","228.00","230.95","231.10","226.90","4.08M","-0.89%"
"09-04-2024","230.05","233.80","234.85","228.15","5.62M","-1.08%"
"08-04-2024","232.55","237.70","239.55","231.50","7.35M","-1.23%"
"05-04-2024","235.45","230.95","237.50","227.70","12.66M","1.99%"
"04-04-2024","230.85","233.90","237.40","228.80","8.43M","-0.69%"
"03-04-2024","232.45","231.90","236.25","228.75","7.52M","0.13%"
"02-04-2024","232.15","227.35","235.75","225.75","15.30M","2.18%"
"01-04-2024","227.20","221.70","228.00","220.55","7.62M","3.44%"
"28-03-2024","219.65","224.45","224.95","213.50","8.71M","-1.28%"
"27-03-2024","222.50","227.20","228.45","221.05","7.88M","-1.31%"
"26-03-2024","225.45","220.00","228.00","217.10","17.12M","2.87%"
"22-03-2024","219.15","217.65","223.45","215.00","9.34M","1.43%"
"21-03-2024","216.05","213.80","218.40","213.55","7.38M","2.73%"
"20-03-2024","210.30","216.00","218.20","209.00","8.50M","-2.09%"
"19-03-2024","214.80","215.85","217.70","212.85","6.83M","-0.83%"
"18-03-2024","216.60","222.00","223.60","215.45","13.84M","-0.09%"
"15-03-2024","216.80","206.90","219.10","200.15","31.16M","3.98%"
"14-03-2024","208.50","179.10","213.65","175.25","38.70M","12.58%"
"13-03-2024","185.20","207.10","210.90","181.10","22.21M","-10.77%"
"12-03-2024","207.55","219.00","219.00","206.10","10.44M","-5.21%"
"11-03-2024","218.95","224.55","227.30","217.15","6.59M","-2.08%"
"07-03-2024","223.60","220.00","226.90","219.75","6.07M","1.80%"
"06-03-2024","219.65","224.40","224.45","217.05","6.41M","-2.12%"
"05-03-2024","224.40","224.50","230.25","222.40","5.24M","-0.40%"
"04-03-2024","225.30","229.40","229.45","224.35","4.45M","-1.40%"
"02-03-2024","228.50","227.50","229.90","226.05","1.04M","0.44%"
"01-03-2024","227.50","230.20","231.45","226.60","4.53M","-0.72%"
"29-02-2024","229.15","223.00","230.35","217.60","13.73M","2.53%"
"28-02-2024","223.50","232.85","233.40","217.85","12.20M","-3.48%"
"27-02-2024","231.55","233.00","238.65","230.55","16.54M","-0.15%"
"26-02-2024","231.90","230.70","237.45","228.05","15.86M","1.38%"
"23-02-2024","228.75","227.55","234.45","227.35","10.82M","1.35%"
"22-02-2024","225.70","229.00","230.40","220.15","9.94M","-0.99%"
"21-02-2024","227.95","231.05","233.45","225.50","10.79M","-1.13%"
"20-02-2024","230.55","232.40","233.25","227.80","9.53M","-0.35%"
"19-02-2024","231.35","226.75","240.20","226.25","24.44M","2.50%"
"16-02-2024","225.70","232.40","232.40","223.50","12.93M","-2.67%"
"15-02-2024","231.90","223.40","234.00","222.10","19.83M","4.15%"
"14-02-2024","222.65","207.40","224.35","203.40","22.36M","5.57%"
"13-02-2024","210.90","196.75","213.45","191.80","40.73M","8.57%"
"12-02-2024","194.25","223.00","224.60","190.35","29.23M","-12.64%"
"09-02-2024","222.35","232.00","234.90","216.80","19.75M","-2.71%"
"08-02-2024","228.55","231.25","235.70","227.55","10.96M","-0.65%"
"07-02-2024","230.05","233.90","235.40","227.65","10.61M","-0.75%"
"06-02-2024","231.80","223.60","234.90","214.75","23.41M","3.67%"
"05-02-2024","223.60","233.55","233.70","222.00","16.34M","-3.83%"
"02-02-2024","232.50","231.10","239.45","226.55","26.43M","1.71%"
"01-02-2024","228.60","239.75","245.10","227.00","43.61M","-3.69%"
"31-01-2024","237.35","235.80","241.50","229.55","31.09M","1.13%"
"30-01-2024","234.70","245.70","248.00","227.20","32.50M","-3.89%"
"29-01-2024","244.20","251.05","254.70","242.50","24.47M","-1.23%"
"25-01-2024","247.25","243.55","252.30","241.35","39.97M","2.49%"
"24-01-2024","241.25","232.30","247.00","215.15","62.50M","5.05%"
"23-01-2024","229.65","275.05","280.85","225.00","116.93M","-13.34%"
"20-01-2024","265.00","231.00","270.00","227.80","151.41M","16.33%"
"19-01-2024","227.80","204.70","230.85","204.65","104.58M","11.64%"
"18-01-2024","204.05","209.50","211.70","192.95","34.55M","-2.06%"
"17-01-2024","208.35","202.90","212.95","199.90","42.53M","1.46%"
"16-01-2024","205.35","204.20","212.00","201.50","46.82M","1.43%"
"15-01-2024","202.45","196.45","209.70","195.55","65.42M","3.79%"
"12-01-2024","195.05","195.70","199.40","193.30","16.35M","0.15%"
"11-01-2024","194.75","195.05","198.90","193.25","31.30M","0.99%"
"10-01-2024","192.85","181.40","196.00","178.80","46.48M","6.31%"
"09-01-2024","181.40","180.70","185.40","179.40","14.32M","1.06%"
"08-01-2024","179.50","185.00","185.00","178.90","12.95M","-2.53%"
"05-01-2024","184.15","186.50","187.65","181.10","11.88M","-0.94%"
"04-01-2024","185.90","188.90","190.85","184.25","24.31M","-0.64%"
"03-01-2024","187.10","175.00","189.70","172.75","86.31M","7.34%"
"02-01-2024","174.30","175.75","177.70","169.80","13.41M","-0.14%"
"01-01-2024","174.55","172.20","176.00","171.80","17.63M","1.84%"
"29-12-2023","171.40","169.90","173.90","167.75","19.66M","1.30%"
"28-12-2023","169.20","170.00","172.00","168.30","8.79M","0.12%"
"27-12-2023","169.00","172.05","174.60","166.90","12.19M","-1.29%"
"26-12-2023","171.20","167.20","173.00","165.70","16.63M","2.76%"
"22-12-2023","166.60","168.75","168.75","164.15","9.73M","-0.45%"
"21-12-2023","167.35","160.40","168.10","158.50","21.79M","2.73%"
"20-12-2023","162.90","177.95","178.85","161.80","24.28M","-7.86%"
"19-12-2023","176.80","180.00","181.60","175.65","29.60M","-0.65%"
"18-12-2023","177.95","172.00","178.45","170.00","32.04M","3.52%"
"15-12-2023","171.90","175.00","178.00","171.20","33.04M","-0.09%"
"14-12-2023","172.05","162.40","174.60","161.55","75.34M","6.96%"
"13-12-2023","160.85","163.00","163.50","159.85","12.56M","-0.83%"
"12-12-2023","162.20","164.35","165.80","161.25","17.09M","-0.67%"
"11-12-2023","163.30","161.00","164.45","160.80","30.68M","1.65%"
"08-12-2023","160.65","161.50","163.40","159.25","44.17M","-0.06%"
"07-12-2023","160.75","158.00","162.95","157.55","68.65M","-6.51%"
"06-12-2023","171.95","173.95","174.00","170.30","8.15M","-0.78%"
"05-12-2023","173.30","176.50","176.75","171.15","7.86M","-1.48%"
"04-12-2023","175.90","179.00","180.00","172.80","19.80M","3.29%"
"01-12-2023","170.30","167.50","176.75","167.50","24.73M","2.84%"
"30-11-2023","165.60","166.50","169.00","159.55","13.98M","-0.36%"
"29-11-2023","166.20","169.00","170.20","165.40","7.60M","-1.10%"
"28-11-2023","168.05","166.95","172.00","165.30","19.50M","1.23%"
"24-11-2023","166.00","166.00","168.60","164.15","9.84M","0.30%"
"23-11-2023","165.50","166.70","168.90","164.65","9.41M","-0.45%"
"22-11-2023","166.25","166.40","168.60","161.50","11.17M","0.36%"
"21-11-2023","165.65","165.65","171.25","163.75","20.83M","0.55%"
"20-11-2023","164.75","170.00","172.50","163.30","18.87M","-1.70%"
"17-11-2023","167.60","154.65","169.65","154.05","47.76M","8.37%"
"16-11-2023","154.65","158.60","159.20","154.00","5.34M","-2.21%"
"15-11-2023","158.15","160.50","161.10","157.55","8.69M","-0.19%"
"13-11-2023","158.45","153.00","159.80","152.80","18.23M","3.09%"
"12-11-2023","153.70","155.00","155.45","153.05","1.85M","0.13%"
"10-11-2023","153.50","154.50","156.65","151.70","8.66M","0.10%"
"09-11-2023","153.35","155.60","157.40","150.40","15.44M","-0.84%"
"08-11-2023","154.65","153.30","157.30","153.30","14.08M","1.41%"
"07-11-2023","152.50","146.50","154.85","145.50","16.37M","4.42%"
"06-11-2023","146.05","144.40","148.95","143.50","11.35M","2.60%"
"03-11-2023","142.35","139.90","144.60","138.40","14.14M","2.63%"
"02-11-2023","138.70","139.80","141.90","138.25","6.02M","0.69%"
"01-11-2023","137.75","139.65","140.15","137.05","5.01M","-0.72%"
"31-10-2023","138.75","139.70","143.30","138.10","8.76M","0.11%"
"30-10-2023","138.60","141.15","141.50","136.70","8.86M","-1.60%"
"27-10-2023","140.85","141.50","143.80","138.05","16.33M","0.57%"
"26-10-2023","140.05","134.95","142.95","127.25","27.77M","2.83%"
"25-10-2023","136.20","145.85","148.75","132.65","22.87M","-4.69%"
"23-10-2023","142.90","155.35","156.10","140.65","16.28M","-7.54%"
"20-10-2023","154.55","154.60","163.45","153.25","25.61M","0.42%"
"19-10-2023","153.90","154.80","158.30","152.10","12.14M","-1.72%"
"18-10-2023","156.60","160.90","162.40","155.25","19.72M","-2.16%"
"17-10-2023","160.05","148.00","163.90","146.15","79.80M","8.99%"
"16-10-2023","146.85","150.90","152.70","145.80","13.43M","-1.87%"
"13-10-2023","149.65","138.50","154.60","138.15","60.43M","10.12%"
"12-10-2023","135.90","137.65","137.65","135.30","3.86M","-0.77%"
"11-10-2023","136.95","138.45","140.60","136.40","4.96M","-0.36%"
"10-10-2023","137.45","134.00","139.60","134.00","8.42M","3.42%"
"09-10-2023","132.90","137.95","137.95","131.60","9.43M","-6.11%"
"06-10-2023","141.55","142.50","144.35","140.65","5.60M","-0.32%"
"05-10-2023","142.00","142.90","143.60","140.85","5.00M","-0.14%"
"04-10-2023","142.20","146.00","146.15","140.40","6.59M","-2.74%"
"03-10-2023","146.20","145.00","147.20","144.20","8.42M","0.93%"
"29-09-2023","144.85","141.65","147.25","140.50","9.91M","2.80%"
"28-09-2023","140.90","142.95","143.70","140.50","5.62M","-1.16%"
"27-09-2023","142.55","141.45","144.00","141.05","6.96M","1.03%"
"26-09-2023","141.10","143.50","144.10","140.65","7.21M","-1.64%"
"25-09-2023","143.45","142.95","147.35","139.50","23.29M","1.41%"
"22-09-2023","141.45","135.90","143.15","132.65","16.87M","4.08%"
"21-09-2023","135.90","140.00","140.80","134.85","8.96M","-2.62%"
"20-09-2023","139.55","142.65","146.60","138.20","10.84M","-2.48%"
"18-09-2023","143.10","146.45","147.45","142.50","9.17M","-1.92%"
"15-09-2023","145.90","151.65","152.15","145.00","15.67M","-3.22%"
"14-09-2023","150.75","149.90","153.30","148.35","18.41M","2.55%"
"13-09-2023","147.00","146.90","155.40","137.55","45.70M","-2.62%"
"12-09-2023","150.95","170.00","174.45","144.20","92.14M","-5.86%"
"11-09-2023","160.35","143.00","160.35","141.00","94.33M","19.98%"
"08-09-2023","133.65","123.55","135.20","122.80","45.60M","8.84%"
"07-09-2023","122.80","121.40","126.00","121.15","14.88M","1.19%"
"06-09-2023","121.35","126.80","126.80","120.60","14.55M","-3.92%"
"05-09-2023","126.30","128.70","131.90","123.30","29.79M","-1.21%"
"04-09-2023","127.85","120.00","135.65","120.00","86.19M","7.71%"
"01-09-2023","118.70","114.60","119.80","112.25","29.29M","4.12%"
"31-08-2023","114.00","114.55","117.50","112.30","15.42M","0.18%"
"30-08-2023","113.80","113.90","116.20","112.10","13.59M","0.84%"
"29-08-2023","112.85","110.50","115.00","110.35","19.32M","3.11%"
"28-08-2023","109.45","108.50","111.70","107.55","12.51M","1.67%"
"25-08-2023","107.65","109.65","111.80","107.20","9.14M","-2.54%"
"24-08-2023","110.45","110.40","114.40","109.80","15.35M","0.82%"
"23-08-2023","109.55","110.60","111.85","109.00","9.21M","-0.45%"
"22-08-2023","110.05","109.50","113.60","108.80","22.82M","1.29%"
"21-08-2023","108.65","100.80","109.80","100.55","34.71M","8.38%"
"18-08-2023","100.25","103.05","103.15","99.00","7.02M","-2.86%"
"17-08-2023","103.20","104.90","106.70","102.10","8.65M","-0.43%"
"16-08-2023","103.65","103.00","105.60","101.15","13.59M","0.44%"
"14-08-2023","103.20","103.90","103.95","98.30","11.68M","-0.05%"
"11-08-2023","103.25","106.50","106.95","102.00","10.93M","-2.50%"
"10-08-2023","105.90","106.95","110.20","104.00","17.53M","-0.52%"
"09-08-2023","106.45","100.65","110.20","100.30","52.75M","6.82%"
"08-08-2023","99.65","102.45","102.50","98.85","19.81M","-2.11%"
"07-08-2023","101.80","96.45","103.70","96.05","32.26M","6.21%"
"04-08-2023","95.85","96.75","98.00","95.25","7.85M","-0.52%"
"03-08-2023","96.35","94.00","97.50","93.60","14.66M","1.85%"
"02-08-2023","94.60","97.95","98.25","93.40","24.58M","-3.91%"
"01-08-2023","98.45","98.10","101.25","96.60","35.60M","1.18%"
"31-07-2023","97.30","93.75","97.85","93.05","14.07M","4.51%"
"28-07-2023","93.10","95.70","95.75","91.85","11.72M","-2.15%"
"27-07-2023","95.15","97.60","99.00","94.50","19.34M","-1.70%"
"26-07-2023","96.80","91.85","97.95","91.65","25.69M","6.32%"
"25-07-2023","91.05","93.80","93.90","90.20","14.45M","-1.89%"
"24-07-2023","92.80","94.05","96.70","91.65","24.26M","-0.38%"
"21-07-2023","93.15","89.00","95.15","88.45","60.84M","5.08%"
"20-07-2023","88.65","86.35","89.90","86.00","25.70M","2.90%"
"19-07-2023","86.15","86.80","87.95","85.55","12.29M","-0.40%"
"18-07-2023","86.50","84.30","88.80","83.75","36.93M","3.41%"
"17-07-2023","83.65","81.00","84.10","80.90","13.94M","4.11%"
"14-07-2023","80.35","79.80","80.85","79.60","4.61M","1.26%"
"13-07-2023","79.35","81.95","82.40","79.00","5.77M","-2.76%"
"12-07-2023","81.60","82.05","83.60","81.30","7.92M","-0.31%"
"11-07-2023","81.85","82.50","82.65","81.50","3.86M","-0.61%"
"10-07-2023","82.35","82.50","83.40","82.10","4.04M","0.37%"
"07-07-2023","82.05","83.00","83.70","81.60","6.28M","-1.44%"
"06-07-2023","83.25","83.45","84.15","83.10","4.77M","-0.48%"
"05-07-2023","83.65","83.40","84.70","82.60","7.56M","0.48%"
"04-07-2023","83.25","84.00","84.10","82.50","4.76M","-0.36%"
"03-07-2023","83.55","83.95","84.55","83.20","4.80M","0.06%"
"30-06-2023","83.50","84.50","84.50","83.30","4.51M","-0.24%"
"28-06-2023","83.70","84.55","84.95","83.10","6.28M","-0.65%"
"27-06-2023","84.25","83.60","85.20","83.30","7.52M","1.32%"
"26-06-2023","83.15","83.10","84.25","82.35","7.29M","0.54%"
"23-06-2023","82.70","84.70","84.70","81.85","8.65M","-2.30%"
"22-06-2023","84.65","86.10","86.30","83.30","10.95M","-1.34%"
"21-06-2023","85.80","87.50","91.70","84.80","32.68M","-1.15%"
"20-06-2023","86.80","83.35","87.30","81.70","21.12M","3.15%"
"19-06-2023","84.15","83.55","86.95","83.40","17.63M","1.26%"
"16-06-2023","83.10","81.75","84.20","81.65","10.53M","2.15%"
"15-06-2023","81.35","82.90","83.30","80.90","8.43M","-1.87%"
"14-06-2023","82.90","82.25","84.15","82.05","8.13M","1.34%"
"13-06-2023","81.80","84.20","84.40","81.35","10.41M","-2.39%"
"12-06-2023","83.80","83.70","84.60","82.85","9.07M","0.60%"
"09-06-2023","83.30","84.45","84.90","82.40","12.45M","-1.01%"
"08-06-2023","84.15","87.10","88.20","83.50","18.64M","-3.00%"
"07-06-2023","86.75","83.10","88.70","83.10","52.41M","5.09%"
"06-06-2023","82.55","80.25","82.95","80.10","17.71M","3.12%"
"05-06-2023","80.05","80.80","81.40","79.75","10.45M","-0.99%"
"02-06-2023","80.85","83.00","83.70","80.40","12.19M","-2.30%"
"01-06-2023","82.75","81.15","84.25","80.85","21.32M","1.97%"
"31-05-2023","81.15","80.40","82.25","78.50","20.47M","1.50%"
"30-05-2023","79.95","82.95","83.65","79.30","18.21M","-5.05%"
"29-05-2023","84.20","81.50","84.95","81.45","24.14M","3.50%"
"26-05-2023","81.35","80.50","83.70","80.15","17.89M","1.12%"
"25-05-2023","80.45","80.60","81.80","79.20","13.94M","0.37%"
"24-05-2023","80.15","79.80","82.15","78.45","14.69M","0.38%"
"23-05-2023","79.85","82.00","82.50","79.55","10.06M","-2.44%"
"22-05-2023","81.85","78.45","82.45","77.45","19.51M","4.53%"
"19-05-2023","78.30","80.45","80.80","77.60","9.23M","-2.25%"
"18-05-2023","80.10","81.25","82.15","79.00","11.85M","-0.87%"
"17-05-2023","80.80","78.90","82.70","78.65","25.60M","2.80%"
"16-05-2023","78.60","78.90","81.90","78.25","15.19M","0.13%"
"15-05-2023","78.50","80.00","80.70","77.35","14.72M","-0.95%"
"12-05-2023","79.25","82.75","83.15","78.75","18.41M","-3.71%"
"11-05-2023","82.30","80.00","85.20","79.90","48.60M","4.38%"
"10-05-2023","78.85","77.65","81.45","76.40","29.28M","1.55%"
"09-05-2023","77.65","84.50","85.20","77.10","29.00M","-7.61%"
"08-05-2023","84.05","86.95","87.95","83.60","22.43M","-3.34%"
"05-05-2023","86.95","82.80","88.80","82.55","51.50M","5.46%"
"04-05-2023","82.45","84.85","87.00","81.70","42.69M","-2.19%"
"03-05-2023","84.30","85.95","89.50","83.25","100.25M","-2.32%"
